Date,Return_Walmart,Return_Stellantis,Return_SP500
2020-06-01,-0.03025211135054473,0.15837112344065907,0.01838839651392421
2020-07-01,0.08031396169618987,-0.008789253020653254,0.055101321480443666
2020-08-01,0.07302936480496647,0.08669962671053932,0.07006466690171775
2020-09-01,0.011776573582922278,0.10788753130254536,-0.039227970178423055
2020-10-01,-0.008290900928451084,0.00572829155592669,-0.027665786221379718
2020-11-01,0.10118905504379261,0.2611881269072922,0.10754563544385909
2020-12-01,-0.056548282877911804,0.1670966401968812,0.03712145909357001
2021-01-01,-0.021827599026789768,-0.15809827291259337,-0.011136660755445171
2021-02-01,-0.07523669913408493,0.22990205308942002,0.026091451377448394
2021-03-01,0.04548952075411794,0.08608083447482917,0.042438632533165155
2021-04-01,0.03433808525514159,-0.06270402156712718,0.05242532134755851
2021-05-01,0.01515268023666505,0.2062263182736681,0.00548648867060697
2021-06-01,-0.003211947139951876,0.007153797409439999,0.022214009565834747
2021-07-01,0.010849557993173331,-0.02739716346105814,0.02274805482838871
2021-08-01,0.03893369883006925,0.04434002094734102,0.028990416255438634
2021-09-01,-0.05541589401480396,-0.04595392533096698,-0.047569168801901096
2021-10-01,0.072033197211401,0.04397899399630867,0.0691438364006065
2021-11-01,-0.058827377746534015,-0.14092284411171574,-0.008333706184746159
2021-12-01,0.028869994140741317,0.09515475120760364,0.04361291346206486
2022-01-01,-0.029836667627026525,0.028251721197195545,-0.052585165027393854
2022-02-01,-0.03325936101830307,-0.05235881412901133,-0.031360491945908286
2022-03-01,0.10180512791251228,-0.10995624886559152,0.03577328837154625
2022-04-01,0.03130364995611301,-0.17824214153499696,-0.08795671180434306
2022-05-01,-0.1592261513726676,0.22004946522251045,5.317770464463578e-05
2022-06-01,-0.05137252934377401,-0.18145695842015186,-0.08391999993382682
2022-07-01,0.08611599090830979,0.16343047848650372,0.09111639173021002
2022-08-01,0.0037864774526095157,-0.06815025764947613,-0.04244012827299837
2022-09-01,-0.01723967861114095,-0.11641786488384176,-0.09339567201327437
2022-10-01,0.09737849416251887,0.14189188681696985,0.0798634138370089
2022-11-01,0.07089153959716654,0.15532535670215908,0.053752893352493114
2022-12-01,-0.06974147955266563,-0.09090907796983949,-0.05897147407473047
2023-01-01,0.018494814173795726,0.10704227535201283,0.0617528578346791
2023-02-01,-0.01209439598128581,0.11450392907129503,-0.02611249393181858
2023-03-01,0.037430581299981114,0.038242017751513036,0.03505161257710898
2023-04-01,0.028069065528709247,-0.0857615472939729,0.014642341662481018
2023-05-01,-0.02715780464593054,0.0036420470542373184,0.002482347368192972
2023-06-01,0.0742635821910993,0.14640519584936262,0.06472746490423464
2023-07-01,0.01705050381765738,0.17160770190330643,0.031138932355010862
2023-08-01,0.017202532619065014,-0.09732356140074061,-0.017716390070854016
2023-09-01,-0.01298472689321517,0.03126680590954978,-0.048719367465624885
2023-10-01,0.0217594727460515,-0.023523241565649333,-0.02197968873798295
2023-11-01,-0.04724322840639705,0.159528900096652,0.08917926878197013
2023-12-01,0.012589128478123879,0.0766389821689506,0.04422923115636013
2024-01-01,0.05210117299136474,-0.05831909416518055,0.015895707598991615
2024-02-01,0.06402429404326648,0.1958106382814837,0.05172064062372317
2024-03-01,0.026616528094299374,0.07768464774730077,0.031018779915342964
2024-04-01,-0.010268598888115377,-0.21201412078890158,-0.04161507173789869
2024-05-01,0.10800342639790239,0.06705919252971371,0.0480211901511991
2024-06-01,0.03321721357158025,-0.10866636850248901,0.03466980128308328
2024-07-01,0.013735087578643279,-0.15919394391357378,0.011321316887868749
2024-08-01,0.12514573987012678,0.005392459539125705,0.022834706936630367
2024-09-01,0.04855843121824788,-0.16269370585207044,0.020196884090601275
2024-10-01,0.014860595276471322,-0.03060500351162565,-0.009896743303151712
2024-11-01,0.12873703494855526,-0.03083701026600305,0.057301295482098835
2024-12-01,-0.023243262912741924,-0.011363607628614325,-0.02499013704848363
2025-01-01,0.08884881509086817,0.006130262263356334,0.0270163042404441
2025-02-01,0.004584362010984,-0.03122618764954732,-0.014242092699825126
2025-03-01,-0.10972516322055881,-0.11871070732568056,-0.05754469768137538
2025-04-01,0.0919640525270844,-0.15923281367866726,-0.0309024508597312
